jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10106,0.0,0.015,0.417,0.5,0.052
10135,0.0,0.015,0.434,0.5,0.052
10307,0.038,0.004,0.623,0.5,0.051
10393,0.0,0.015,0.606,0.5,0.051
10541,0.028,0.018,0.629,0.492,0.051
10545,0.076,0.022,0.657,0.492,0.051
10582,0.0,0.015,0.646,0.5,0.052
10645,0.001,0.007,0.651,0.5,0.054
10976,0.036,0.007,0.634,0.5,0.053
11038,0.002,0.004,0.629,0.5,0.047
11390,0.275,0.004,0.657,0.898,0.057
11391,0.271,0.007,0.657,0.898,0.057
11714,0.021,0.011,0.257,0.5,0.055
11729,0.03,0.011,0.434,0.5,0.056
11868,0.003,0.015,0.611,0.5,0.064
11887,0.0,0.015,0.64,0.5,0.063
11888,0.0,0.018,0.64,0.5,0.062
11889,0.0,0.022,0.64,0.5,0.062
11953,0.006,0.026,0.143,0.5,0.057
11957,0.007,0.029,0.657,0.5,0.084
12116,0.0,0.004,0.343,0.391,0.067
12117,0.0,0.004,0.629,0.391,0.067
12118,0.0,0.004,0.343,0.375,0.067
12297,0.016,0.004,0.297,0.375,0.07
12342,0.153,0.007,0.503,0.5,0.071
12343,0.014,0.011,0.503,0.5,0.071
12360,0.011,0.022,0.531,0.492,0.07
12407,0.001,0.018,0.469,0.5,0.155
12598,0.0,0.007,0.549,0.5,0.16
12666,0.007,0.022,0.577,0.5,0.159
12739,0.003,0.004,0.623,0.5,0.071
12772,0.02,0.007,0.646,0.5,0.071
12899,0.035,0.007,0.611,0.5,0.07
12922,0.002,0.007,0.371,0.633,0.159
12933,0.229,0.007,0.417,0.75,0.077
12934,0.001,0.007,0.446,0.75,0.077
13032,0.001,0.018,0.463,0.5,0.16
13059,0.005,0.015,0.149,0.625,0.071
13062,0.002,0.018,0.154,0.688,0.071
13114,0.0,0.117,0.634,0.5,0.159
13115,0.0,0.12,0.634,0.5,0.159
13116,0.0,0.124,0.634,0.5,0.159
13117,0.0,0.128,0.634,0.5,0.159
13118,0.0,0.131,0.634,0.5,0.159
13119,0.0,0.135,0.634,0.5,0.159
13120,0.0,0.139,0.634,0.5,0.159
13121,0.0,0.142,0.634,0.5,0.159
13122,0.0,0.146,0.634,0.5,0.159
13123,0.0,0.15,0.634,0.5,0.159
13127,0.004,0.153,0.634,0.5,0.159
13128,0.004,0.157,0.634,0.5,0.159
13129,0.0,0.161,0.634,0.5,0.159
13130,0.004,0.164,0.634,0.5,0.159
13131,0.0,0.168,0.634,0.5,0.159
13132,0.0,0.172,0.589,0.5,0.159
13133,0.004,0.172,0.634,0.5,0.159
13134,0.004,0.175,0.634,0.5,0.159
13143,0.0,0.161,0.634,0.5,0.161
13218,0.0,0.022,0.691,0.5,0.167
13223,0.229,0.004,0.486,0.75,0.077
13224,0.229,0.007,0.486,0.75,0.076
13229,0.004,0.011,0.646,0.633,0.163
13245,0.0,0.015,0.617,0.5,0.087
13267,0.004,0.051,0.657,0.5,0.162
13292,0.001,0.12,0.651,0.5,0.162
13306,0.002,0.04,0.646,0.633,0.162
13314,0.0,0.055,0.657,0.5,0.162
13354,0.002,0.011,0.383,0.633,0.166
13373,0.144,0.004,0.6,0.5,0.079
13443,0.086,0.004,0.646,0.5,0.087
13482,0.004,0.015,0.657,0.633,0.166
13536,0.019,0.007,0.206,0.5,0.077
13537,0.0,0.007,0.617,0.5,0.086
13546,0.002,0.015,0.634,0.633,0.168
13627,0.061,0.004,0.64,0.5,0.078
13809,0.005,0.004,0.457,0.5,0.084
13815,0.089,0.004,0.617,0.5,0.083
13817,0.0,0.011,0.463,0.5,0.165
13827,0.021,0.015,0.52,0.633,0.167
14217,0.153,0.015,0.657,0.5,0.079
14326,0.086,0.015,0.646,0.5,0.086
14765,0.001,0.015,0.549,0.5,0.165
14781,0.0,0.004,0.366,0.5,0.088
14782,0.0,0.007,0.366,0.5,0.088
14785,0.001,0.007,0.457,0.5,0.165
14788,0.001,0.004,0.0,0.75,0.082
14789,0.001,0.004,0.0,0.75,0.082
14841,0.0,0.007,0.411,0.5,0.09
15058,0.0,0.051,0.657,0.5,0.166
15686,0.001,0.004,0.331,0.5,0.083
15801,0.081,0.004,0.606,0.5,0.083
15898,0.0,0.047,0.657,0.5,0.087
16173,0.08,0.055,0.56,0.5,0.083
18515,0.117,0.095,0.469,0.5,0.083
19174,0.006,0.109,0.657,0.5,0.083
