jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10235,0.0,0.424,0.294,0.012,0.115
10236,0.0,0.431,0.294,0.012,0.115
10237,0.0,0.438,0.294,0.012,0.115
10238,0.0,0.444,0.294,0.012,0.115
10241,0.003,0.431,0.263,0.025,0.114
10245,0.0,0.389,0.128,0.012,0.114
10246,0.0,0.396,0.128,0.012,0.114
10247,0.0,0.403,0.128,0.012,0.114
10248,0.0,0.41,0.128,0.012,0.114
10249,0.0,0.403,0.116,0.012,0.113
10252,0.0,0.396,0.117,0.012,0.113
10255,0.0,0.389,0.128,0.012,0.113
10256,0.0,0.396,0.128,0.012,0.113
10257,0.0,0.403,0.128,0.012,0.113
10258,0.0,0.41,0.128,0.012,0.113
10259,0.004,0.396,0.096,0.025,0.113
10260,0.0,0.396,0.096,0.012,0.114
10261,0.0,0.403,0.096,0.012,0.114
10262,0.0,0.41,0.096,0.012,0.114
10263,0.0,0.417,0.096,0.012,0.114
10264,0.0,0.424,0.096,0.012,0.114
10269,0.003,0.41,0.086,0.025,0.113
10270,0.0,0.396,0.107,0.012,0.114
10271,0.0,0.403,0.107,0.012,0.114
10272,0.0,0.41,0.107,0.012,0.114
10273,0.0,0.417,0.107,0.012,0.114
10275,0.0,0.41,0.105,0.012,0.113
10276,0.0,0.389,0.117,0.012,0.114
10277,0.0,0.396,0.117,0.012,0.114
10278,0.0,0.403,0.117,0.012,0.114
10279,0.0,0.41,0.117,0.012,0.114
10280,0.0,0.417,0.116,0.012,0.114
10283,0.0,0.396,0.107,0.012,0.113
10284,0.0,0.403,0.107,0.012,0.113
10285,0.0,0.41,0.107,0.012,0.113
10286,0.0,0.417,0.107,0.012,0.113
10289,0.001,0.389,0.107,0.012,0.113
10290,0.001,0.396,0.107,0.012,0.113
10291,0.0,0.403,0.107,0.012,0.113
10292,0.0,0.41,0.107,0.012,0.113
10293,0.003,0.417,0.076,0.025,0.113
10294,0.0,0.396,0.062,0.012,0.112
10295,0.0,0.403,0.062,0.012,0.112
10296,0.0,0.41,0.062,0.012,0.112
10297,0.0,0.417,0.062,0.012,0.112
10298,0.005,0.424,0.062,0.012,0.112
10299,0.005,0.431,0.062,0.012,0.112
10301,0.005,0.438,0.062,0.012,0.112
10303,0.0,0.431,0.044,0.012,0.112
10304,0.0,0.438,0.023,0.012,0.112
10305,0.0,0.444,0.003,0.012,0.112
10306,0.0,0.451,0.003,0.012,0.112
10311,0.015,0.458,0.0,0.4,0.112
10312,0.013,0.465,0.0,0.4,0.112
10324,0.0,0.403,0.107,0.025,0.114
10325,0.004,0.41,0.107,0.2,0.114
10614,0.001,0.306,0.241,0.012,0.117
10615,0.0,0.312,0.241,0.012,0.117
10616,0.0,0.319,0.241,0.012,0.117
10617,0.0,0.326,0.241,0.012,0.117
10620,0.0,0.319,0.263,0.025,0.116
10621,0.0,0.326,0.263,0.05,0.115
10622,0.0,0.333,0.253,0.012,0.115
10625,0.001,0.299,0.108,0.05,0.116
10626,0.0,0.306,0.108,0.025,0.116
