jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10751,0.002,0.755,0.052,0.003,0.108
11050,0.0,0.297,0.242,0.003,0.123
11056,0.001,0.307,0.24,0.095,0.122
11068,0.0,0.302,0.208,0.012,0.124
11069,0.0,0.307,0.208,0.024,0.124
13173,0.0,0.476,0.353,0.018,0.172
13813,0.0,0.377,0.292,0.006,0.152
13814,0.0,0.382,0.292,0.006,0.151
13815,0.0,0.387,0.292,0.006,0.151
13816,0.0,0.392,0.292,0.006,0.151
13817,0.0,0.396,0.292,0.006,0.151
13818,0.0,0.401,0.292,0.006,0.151
13819,0.001,0.406,0.292,0.006,0.151
13820,0.0,0.41,0.292,0.006,0.151
13821,0.001,0.415,0.292,0.006,0.151
13822,0.0,0.42,0.292,0.006,0.151
13823,0.0,0.425,0.292,0.006,0.151
13824,0.0,0.429,0.292,0.006,0.151
13825,0.0,0.434,0.292,0.006,0.151
13826,0.001,0.439,0.292,0.006,0.151
13827,0.0,0.443,0.292,0.006,0.151
13828,0.004,0.448,0.292,0.006,0.151
13829,0.004,0.453,0.292,0.006,0.151
13830,0.001,0.458,0.292,0.006,0.151
13831,0.001,0.462,0.292,0.006,0.151
13832,0.004,0.467,0.292,0.006,0.151
13833,0.0,0.472,0.292,0.006,0.15
13834,0.0,0.476,0.292,0.006,0.15
13835,0.0,0.481,0.291,0.006,0.15
13836,0.001,0.486,0.291,0.006,0.15
13837,0.001,0.491,0.291,0.006,0.15
13838,0.0,0.495,0.291,0.006,0.15
13839,0.001,0.5,0.291,0.006,0.15
13840,0.0,0.505,0.291,0.006,0.15
13841,0.004,0.509,0.291,0.006,0.15
13842,0.004,0.514,0.291,0.006,0.15
13843,0.004,0.519,0.291,0.006,0.15
13844,0.026,0.524,0.291,0.06,0.15
13845,0.017,0.528,0.291,0.06,0.149
13846,0.038,0.533,0.291,0.06,0.149
13847,0.0,0.538,0.095,0.003,0.144
13848,0.01,0.542,0.095,0.048,0.144
13849,0.0,0.547,0.095,0.003,0.143
13850,0.0,0.552,0.003,0.024,0.141
13851,0.003,0.557,0.003,0.003,0.141
13981,0.0,0.415,0.351,0.012,0.179
13982,0.006,0.42,0.351,0.006,0.179
